dull-blue:2+dotted-green,1+dull-brown,3+striped-tomato,5+muted-blue
dotted-cyan:2+faded-lavender,1+drab-fuchsia,5+bright-blue,0+-
clear-magenta:1+wavy-salmon,3+dull-lime,2+striped-white,0+-
drab-white:1+drab-lavender,1+plaid-maroon,0+-,0+-
bright-bronze:4+striped-purple,1+dull-crimson,4+dotted-plum,1+vibrant-silver
drab-tan:5+dim-white,5+wavy-brown,0+-,0+-
wavy-cyan:2+striped-lavender,5+mirrored-beige,4+muted-purple,3+muted-red
bright-magenta:5+faded-beige,5+muted-blue,0+-,0+-
wavy-red:1+light-magenta,4+wavy-plum,2+vibrant-tan,3+dotted-turquoise
drab-purple:3+dotted-brown,1+drab-bronze,0+-,0+-
dull-coral:2+shiny-magenta,2+wavy-teal,5+dotted-indigo,0+-
mirrored-plum:5+bright-bronze,5+shiny-gold,5+dark-plum,0+-
shiny-yellow:5+clear-black,5+light-cyan,2+mirrored-coral,0+-
clear-brown:3+muted-salmon,1+dark-plum,2+wavy-white,5+dull-maroon
pale-gray:4+striped-gray,0+-,0+-,0+-
light-turquoise:4+clear-black,3+drab-bronze,5+drab-crimson,2+bright-lime
muted-orange:3+drab-white,0+-,0+-,0+-
muted-plum:3+bright-plum,0+-,0+-,0+-
dull-salmon:3+striped-olive,0+-,0+-,0+-
pale-black:2+vibrant-gold,4+plaid-coral,1+clear-gray,2+drab-olive
dark-lavender:3+dotted-turquoise,1+plaid-blue,0+-,0+-
pale-chartreuse:1+dotted-gray,4+plaid-blue,0+-,0+-
posh-chartreuse:3+posh-magenta,3+wavy-violet,0+-,0+-
light-brown:3+clear-white,4+dim-brown,5+striped-bronze,3+vibrant-silver
shiny-gray:4+shiny-crimson,5+wavy-brown,1+clear-beige,1+faded-bronze
dotted-maroon:1+clear-turquoise,4+clear-white,5+muted-cyan,0+-
shiny-green:2+dark-indigo,2+dotted-indigo,0+-,0+-
bright-orange:3+drab-bronze,3+muted-salmon,4+posh-gray,0+-
mirrored-salmon:3+wavy-yellow,2+dotted-yellow,3+drab-coral,0+-
plaid-black:4+muted-fuchsia,2+muted-yellow,1+plaid-blue,3+dark-aqua
light-tan:5+dark-silver,5+striped-bronze,4+dotted-green,2+shiny-salmon
striped-maroon:1+plaid-silver,0+-,0+-,0+-
muted-tomato:3+bright-purple,3+shiny-brown,0+-,0+-
striped-violet:4+dotted-gray,1+clear-turquoise,4+bright-violet,0+-
dull-gold:5+light-cyan,1+mirrored-yellow,1+light-coral,5+plaid-turquoise
shiny-white:2+dark-purple,0+-,0+-,0+-
dim-black:3+posh-green,0+-,0+-,0+-
faded-coral:4+wavy-white,3+dull-tan,1+mirrored-turquoise,1+dotted-crimson
wavy-lime:3+mirrored-purple,0+-,0+-,0+-
posh-crimson:4+wavy-olive,4+pale-purple,0+-,0+-
mirrored-purple:2+light-gray,2+plaid-beige,0+-,0+-
mirrored-yellow:3+shiny-salmon,4+dotted-plum,0+-,0+-
vibrant-maroon:2+vibrant-gold,0+-,0+-,0+-
dull-plum:4+clear-orange,0+-,0+-,0+-
muted-blue:3+dark-lavender,0+-,0+-,0+-
dim-bronze:4+dark-purple,0+-,0+-,0+-
shiny-orange:5+faded-coral,3+bright-lime,2+dim-indigo,2+dotted-yellow
light-black:4+dark-coral,0+-,0+-,0+-
vibrant-black:3+muted-red,3+faded-coral,4+plaid-chartreuse,3+dull-maroon
shiny-aqua:4+dim-tomato,1+bright-lime,0+-,0+-
muted-violet:4+wavy-gold,4+shiny-gold,0+-,0+-
dim-lavender:3+pale-crimson,1+posh-magenta,3+vibrant-olive,1+plaid-violet
bright-chartreuse:5+mirrored-tan,0+-,0+-,0+-
posh-tomato:3+light-aqua,1+drab-tomato,3+dull-green,0+-
posh-cyan:2+posh-fuchsia,4+pale-tan,3+posh-blue,0+-
mirrored-silver:1+light-purple,0+-,0+-,0+-
striped-tomato:0+-,0+-,0+-,0+-
shiny-brown:1+mirrored-brown,4+wavy-lavender,5+striped-olive,3+light-cyan
shiny-maroon:2+drab-tomato,4+drab-black,3+posh-tomato,0+-
pale-lime:1+dark-indigo,3+muted-violet,0+-,0+-
pale-purple:1+dark-silver,2+wavy-yellow,5+striped-salmon,0+-
wavy-white:5+clear-beige,1+striped-tan,2+posh-gray,1+striped-yellow
plaid-maroon:1+muted-cyan,0+-,0+-,0+-
plaid-gray:2+striped-gray,5+faded-coral,0+-,0+-
faded-brown:3+mirrored-olive,2+shiny-aqua,5+dim-maroon,0+-
faded-black:2+dotted-beige,5+dull-indigo,4+wavy-olive,5+mirrored-coral
light-blue:3+plaid-silver,3+mirrored-tomato,3+dull-indigo,5+dull-aqua
